_id,Programme,University,Programme_Fee,Country,Address,Latitude,Longitude
1321,Master of Arts in Organizational Leadership,Medaille College,920,USA,"South Winton Road,1880, 14618, Rochester",-77.5733153,43.1087513
1322,Master of Arts in Psychology,Medaille College,875,USA,"Agassiz Circle,18, 14214, Buffalo",-78.8559545,42.928608
1323,Master of Science in Criminal Justice - Behavior Analysis Concentration,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1324,Master of Science in Criminal Justice - Behavior Management Concentration,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1325,Master of Science in Criminal Justice - Federal Law Enforcement Concentration,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1326,Master of Science in Criminal Justice - General Concentration,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1327,Master of Science in Criminal Justice - Homeland Security Concentration,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1328,Master of Science in Criminal Justice - Intelligence and Crime Analysis Concentration,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1329,Master of Science in Education - Deaf and Hard Hearing Education PK-12 Certification,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1330,Master of Science in Education - Special Education - Applied Behavior Analysis,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1331,Master of Science in Education - Special Education - Master's Only,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1332,Master of Science in Education - Special Education + Autism Spectrum Disorders Endorsement,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1333,Master of Science in Education - Special Education + Special Education Certification,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1334,Master of Science in Education - Special Education with Wilson Reading System Certification,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1335,Master of Science in Education (Secondary Education),Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1336,Master of Science in Organizational Development and Leadership,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1337,Master of Science in Strategic Human Resource Management,Saint Joseph's University Online,/,USA,"5600 City Ave. , 19131, Philadelphia",-75.2394431,39.993829
1338,Master of Arts in Counseling: School Counseling,Our Lady of the Lake University Online,/,USA,"411 S.W. 24th St., 78207, San Antonio",-98.5412497,29.4259045
1339,Master of Social Work,Our Lady of the Lake University Online,/,USA,"411 S.W. 24th St., 78207, San Antonio",-98.5412497,29.4259045
1340,Master of Arts in Clinical Mental Health Counseling (Online),Medaille College,875,USA,"Agassiz Circle,18, 14214, Buffalo",-78.8559545,42.928608
1341,Master of Arts in Organizational Leadership (Online),Medaille College,920,USA,"Agassiz Circle,18, 14214, Buffalo",-78.8559545,42.928608
1342,Master of Arts in Psychology (Online),Medaille College,875,USA,"Agassiz Circle,18, 14214, Buffalo",-78.8559545,42.928608
1343,Masters in Data Science,University of the Pacific Online,/,USA,"Pacific Avenue,3601, 95211, Stockton",-121.3123094,37.9774118
1344,Master of Science in Library and Information Science,St. John's University Online,/,USA,"8000 Utopia Parkway, 11439, Queens",-73.7946869,40.721591
1345,Master of Science in Library and Information Science: Academic Librarianship,St. John's University Online,/,USA,"8000 Utopia Parkway, 11439, Queens",-73.7946869,40.721591
1346,Master of Science in Library and Information Science: Archival Studies,St. John's University Online,/,USA,"8000 Utopia Parkway, 11439, Queens",-73.7946869,40.721591
1347,Master of Science in Library and Information Science: Management,St. John's University Online,/,USA,"8000 Utopia Parkway, 11439, Queens",-73.7946869,40.721591
1348,Master of Science in Library and Information Science: Public Librarianship,St. John's University Online,/,USA,"8000 Utopia Parkway, 11439, Queens",-73.7946869,40.721591
1349,Master of Science in Library and Information Science: Special Librarianship,St. John's University Online,/,USA,"8000 Utopia Parkway, 11439, Queens",-73.7946869,40.721591
1350,Master of Science in Library and Information Science: Youth Services,St. John's University Online,/,USA,"8000 Utopia Parkway, 11439, Queens",-73.7946869,40.721591
1351,Master of Arts in Arts Administration,Winthrop University Online,/,USA,"701 Oakland Avenue, 29733, Rock Hill",-81.0286239,34.9397788
1352,Master of Education in Special Education Intervention,Winthrop University Online,/,USA,"701 Oakland Avenue, 29733, Rock Hill",-81.0286239,34.9397788
1353,Master of Social Work,Winthrop University Online,/,USA,"701 Oakland Avenue, 29733, Rock Hill",-81.0286239,34.9397788
1354,Master of Social Work - Advanced Standing,Winthrop University Online,/,USA,"701 Oakland Avenue, 29733, Rock Hill",-81.0286239,34.9397788
1355,Master of Public Administration - Criminal Justice,Anna Maria College Online,/,USA,"Sunset Lane,50, 01612, Paxton",-71.917944,42.327075
1356,Master of Public Administration - Emergency Management,Anna Maria College Online,/,USA,"Sunset Lane,50, 01612, Paxton",-71.917944,42.327075
1357,Master of Public Administration - Fire and Emergency Services,Anna Maria College Online,/,USA,"Sunset Lane,50, 01612, Paxton",-71.917944,42.327075
1358,Master of Public Administration - General Track,Anna Maria College Online,/,USA,"Sunset Lane,50, 01612, Paxton",-71.917944,42.327075
1359,Master of Public Administration - Homeland Security,Anna Maria College Online,/,USA,"Sunset Lane,50, 01612, Paxton",-71.917944,42.327075
1360,Master of Social Work,University of Kentucky Online,/,USA,", 40506, Lexington",-84.4994488,38.0196138
1361,Master of Public Administration,Seton Hall University Online,/,USA,"400 South Orange Ave, 07079, South Orange",-74.2609903,40.7489277
1362,Master of Science in Accounting,Seton Hall University Online,/,USA,"400 South Orange Ave, 07079, South Orange",-74.2609903,40.7489277
1363,Master of Science in Professional Accounting,Seton Hall University Online,/,USA,"400 South Orange Ave, 07079, South Orange",-74.2609903,40.7489277
1364,Master of Science in Criminal Justice,Michigan State University Online,/,USA,"Trowbridge Rd,220, 48824, East Lansing",-84.4922665,42.7199075
1365,Master of Science in Law Enforcement Intelligence and Analysis,Michigan State University Online,/,USA,"Trowbridge Rd,220, 48824, East Lansing",-84.4922665,42.7199075
1366,"MEd in Curriculum & Instruction, Concentration in TESOL",George Mason University Online,/,USA,"4400 University Drive, 22030, Fairfax",-77.3063733,38.8462236
1367,Master of Science in Learning Design & Technology,George Mason University Online,/,USA,"4400 University Drive, 22030, Fairfax",-77.3063733,38.8462236
1368,"Master of Education in Special Education, specializing in Applied Behavior Analysis",George Mason University Online,/,USA,"4400 University Drive, 22030, Fairfax",-77.3063733,38.8462236
1369,Master of Science in Data Analytics Engineering,George Mason University Online,/,USA,"4400 University Drive, 22030, Fairfax",-77.3063733,38.8462236
1370,Master of Social Work,George Mason University Online,/,USA,"4400 University Drive, 22030, Fairfax",-77.3063733,38.8462236
1371,MPS in Applied Industrial and Organizational Psychology,George Mason University Online,/,USA,"4400 University Drive, 22030, Fairfax",-77.3063733,38.8462236
1372,Accelerated Master of Science in Management and Organizational Behavior.,Benedictine University Online,/,USA,"5700 College Road, 60532, Lisle",-88.0948979,41.7788628
1373,Dual Master of Public Health/Master of Science in Management and Organizational Behavior (MSMOB),Benedictine University Online,/,USA,"5700 College Road, 60532, Lisle",-88.0948979,41.7788628
1374,Dual MBA/Master of Science (MS) in Management and Organizational Behavior,Benedictine University Online,/,USA,"5700 College Road, 60532, Lisle",-88.0948979,41.7788628
1375,Master of Science in Accountancy,Benedictine University Online,/,USA,"5700 College Road, 60532, Lisle",-88.0948979,41.7788628
1376,Master of Science in Management and Organizational Behavior,Benedictine University Online,/,USA,"5700 College Road, 60532, Lisle",-88.0948979,41.7788628
1377,Master of Science in Finance,Johns Hopkins Carey Business School ??? Online and On-site,/,USA,"100 International Dr., 21202, Baltimore",-76.6121893,39.2903848
1378,Master of Science in Health Care Management,Johns Hopkins Carey Business School ??? Online and On-site,/,USA,"100 International Dr., 21202, Baltimore",-76.6121893,39.2903848
1379,Master of Science in Marketing,Johns Hopkins Carey Business School ??? Online and On-site,/,USA,"100 International Dr., 21202, Baltimore",-76.6121893,39.2903848
1380,MBA and business management ISEAD / UPTC,ISEAD Business School,14000,Spain,"ISEAD Alcal??? No 85 CP 28009-Madrid, 28009, Madrid",/,/
1381,Master of Criminal Justice (MCJ),Anderson University South Carolina,/,USA,"Anderson University 316 Boulevard, Anderson, 29621, Anderson",-82.6379962,34.5141588
1382,Master of Ministry (M.Min.),Anderson University South Carolina,/,USA,"Anderson University 316 Boulevard, Anderson, 29621, Anderson",-82.6379962,34.5141588
1383,Master of Education (M.Ed.),Anderson University South Carolina,/,USA,"Anderson University 316 Boulevard, Anderson, 29621, Anderson",-82.6379962,34.5141588
1384,Master of Music in Music Education (M.Mus.Ed),Anderson University South Carolina,/,USA,"Anderson University 316 Boulevard, Anderson, 29621, Anderson",-82.6379962,34.5141588
1385,Master of Professional Accountancy (MPAC),"Delta State University, College of Business",/,USA,"Delta State University College of Business Highway 8 West , 38733, Cleveland",-90.7339765,33.7457592
1386,Master of Commercial Aviation,"Delta State University, College of Business",/,USA,"Delta State University College of Business Highway 8 West , 38733, Cleveland",-90.7339765,33.7457592
1387,Master of Management in Social Media Marketing,Chancellor University,22950,USA,"Main Campus Chancellor University 6000 Lombardo Center Drive Suite 200, Ohio 44131, Cleveland",-81.6762392,41.3953304
1388,"MSc in Criminal Justice, Criminal Behavior Concentration",Tiffin University,23100,USA,"155 Miami St. , 44883, Tiffin",-83.1845635,41.1184446
1389,"MSc in Criminal Justice, Crime Analysis Concentration",Tiffin University,21000,USA,"155 Miami St. , 44883, Tiffin",-83.1845635,41.1184446
1390,Master of Humanities,Tiffin University,17500,USA,"155 Miami St. , 44883, Tiffin",-83.1845635,41.1184446
1391,"Master of Humanities, Art & Visual Media Concentration",Tiffin University,17500,USA,"155 Miami St. , 44883, Tiffin",-83.1845635,41.1184446
1392,"Master of Humanities, Communication Concentration",Tiffin University,17500,USA,"155 Miami St. , 44883, Tiffin",-83.1845635,41.1184446
1393,"Master of Humanities, English Concentration",Tiffin University,17500,USA,"155 Miami St. , 44883, Tiffin",-83.1845635,41.1184446
1394,MA in Counseling: Clinical Mental Health Counseling,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1395,MA in Counseling: School Counseling and LPC Qualification,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1396,MA in Criminal Justice,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1397,MA in Early Childhood Education: Administration in EC & Family Studies,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1398,MA in Early Childhood Education: Advanced Curriculum and Teaching,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1399,MA in Early Childhood Education: Classroom Instruction P-3 Certification,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1400,MA in Early Childhood Education: Education for Family Living,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1401,MA in Educational Administration: School Business Administrator,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1402,MA in Educational Administration: Supervisor and Principal,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1403,MA in Fine Arts Education: Inital Teaching Certification,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1404,MA in Fine Arts Education: Supervision,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
1405,MA in Holocaust and Genocide Studies,Kean University,/,USA,"East Campus Kean University 215 North Avenue Hillside, NJ 07205, 07205, New York",-74.2287333,40.6955044
